"","favor","contra","absten","quorum","ausen","title","leg","filename","yr","mo","dy","haveinfo"
"1",448,13,5,0,35,"DICTAMEN CON PROYECTO DE DECRETO QUE REFORMA DIVERSAS DISPOSICIONES LA LEY ORGÁNICA DEL CONGRESO GENERAL DE LOS E.U.M. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-1",2006,9,7,1
"2",452,0,5,3,41,"INTEGRACION COMPLEMENTARIA DE LA MESA DIRECTIVA",60,"60yr1or1-sil-2",2006,9,19,1
"3",150,295,10,0,46,"PUNTO DE ACUERDO POR EL QUE SE CREA LA COMISION ESPECIAL PARA LA VIGILANCIA Y EL USO Y DESTINO DE LA DOCUMENTACION DEL PROCESO ELECTORAL PRESIDENCIAL DEL 2 DE JULIO DE 2006 (SI SE CONSIDERA DE URGENTE RESOLUCION)",60,"60yr1or1-sil-3",2006,9,19,1
"4",133,296,9,0,63,"PUNTO DE ACUERDO PARA EXHORTAR A LA CONAGO A CENTRAR SU ATENCION EN TEMAS PRIORITARIOS DE BENEFICIO PUBLICO (SI SE CONSIDERA DE URGENTE RESOLUCION)",60,"60yr1or1-sil-4",2006,9,19,1
"5",410,17,23,6,45,"DECRETO QUE CONCEDE AUTORIZACION AL PRESIDENTE DE LOS ESTADOS UNIDOS MEXICANOS, PARA AUSENTARSE DEL TERRITORIO NACIONAL LOS DIAS 9 Y 10 DE OCTUBRE DE 2006, PARA REALIZAR VISITA DE TRABAJO (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-5",2006,9,29,1
"6",140,288,10,1,62,"PUNTO DE ACUERDO POR EL QUE SE EXHORTA AL TITULAR DEL EJECUTIVO FEDERAL, SUSPENDA SUS ACTIVIDADES DE PROMOCION EN PROCESO ELECTORAL 2006 DE TABASCO (SI SE CONSIDERA DE URGENTE RESOLUCION)",60,"60yr1or1-sil-6",2006,9,29,1
"7",229,174,11,0,87,"PUNTO DE ACUERDO PARA SOLICITAR A LA SECRETARIA DE LA FUNCION PUBLICA INVESTIGUE Y DETERMINE LA ILEGAL INTERVENCION DE UNA REPRESENTANTE DEL VATICANO COMO SECRETARIA EJECUTIVA DEL INMUJERES (SI SE CONSIDERA DE URGENTE RESOLUCION)",60,"60yr1or1-sil-7",2006,9,29,1
"8",124,279,6,0,92,"PUNTO DE ACUERDO PARA QUE EL TITULAR DE LA SEP Y EL GOB. DE OAXACA, EXPLIQUEN LA NEGATIVA PARA OTORGAR RECURSOS PARA LA REZONIFICACION SALARIAL DEL MAGISTERIO DE OAXACA (SI SE CONSIDERA DE URGENTE RESOLUCION)",60,"60yr1or1-sil-8",2006,9,29,1
"9",204,168,14,11,104,"PUNTO DE ACUERDO EN RELACION CON PEMEX",60,"60yr1or1-sil-9",2006,10,5,1
"10",443,1,1,7,49,"DECRETO QUE REFORMA Y ADICIONA LOS ARTICULOS 39 Y 43 DE LA LEY ORGANICA DEL CONGRESO GENERAL DE LOS ESTADOS UNIDOS MEXICANOS (EN LO GENERAL Y EN LO PARTICULAR, CON LAS ADICIONES ACEPTADAS)",60,"60yr1or1-sil-10",2006,10,17,1
"11",203,178,11,7,102,"PUNTO DE ACUERDO PARA SOLICITAR A SEGOB EMITA LA DECLARATORIA DE ZONA DE DESASTRE PARA EL MPIO DE VILLA CORREGIDORA, QRO. POR LAS LLUVIAS DEL PASADO 30 DE SEPTIEMBRE (SI SE CONSIDERA DE URGENTE RESOLUCION)",60,"60yr1or1-sil-11",2006,10,19,1
"12",417,0,10,3,71,"SEIS DECRETOS QUE CONDECEN PERMISO A 18 CIUDADANOS MEXICANOS, 2 PARA ACEPTAR Y DESEMPENAR EL CARGO DE CONSUL HONORARIO Y 16 PARA PRESTAR SERVICIOS EN REPRESENTACIONES EXTRANJERAS (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-12",2006,10,24,1
"13",240,178,3,4,76,"PUNTO DE ACUERDO POR EL QUE SE EXHORTA AL GOBIERNO FEDERAL PARA QUE DE CUMPLIMIENTO A LA LEY DE DESARROLLO RURAL SUSTENTABLE DE LA CANA DE AZUCAR Y A LA SCJN PARA QUE AGILICE LA RESOLUCION DE LA ACCION DE INCONSTITUCIONALIDAD 27/2005. (SI SE CONSIDERA DE URGENTE RESOLUCION)",60,"60yr1or1-sil-13",2006,10,26,1
"14",350,16,17,0,118,"PROYECTO DE DECRETO QUE CONCEDE AUTORIZACION AL PRESIDENTE DE LOS ESTADOS UNIDOS MEXICANOS, VICENTE FOX QUESADA, PARA AUSENTARSE DEL TERRITORIO NACIONAL DEL 3 AL 6 DE NOVIEMBRE DE 2006.",60,"60yr1or1-sil-14",2006,10,26,1
"15",355,0,36,2,108,"DOS DECRETOS QUE CONCEDEN PERMISO A 16 CC. MEXICANOS PARA PRESTAR SERVICIOS EN REPRESENTACIONES EXTRANJERAS EN MEXICO. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-15",2006,10,30,1
"16",186,257,6,2,50,"DECRETO QUE CONCEDE PERMISO AL PRESIDENTE DE LOS E.U.M. VICENTE FOX QUESADA PARA AUSENTARSE DEL TERRITORIO NACIONAL DEL 10 AL 19 DE NOV 2006 A EFECTO DE QUE REALICE VISITA DE TRABAJO A LA COMINIDAD DE AUSTRALIA DEL 12 AL 16 DE NOV ASI COMO DEL 16 AL 19 PARA QUE PARTICIPE EN LA XIV REUNION DE LIDERES DEL FORO DE APEC EN LA CD DE HANOI REP SOCIALISTA DE VIET NAM (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-16",2006,11,7,1
"17",200,166,3,1,131,"PUNTO DE ACUERDO POR EL QUE SE SOLICITA A LA PGR, INFORME A ESTA SOBERANÍA EL RESULTADO DE SUS INVESTIGACIONES RESPECTO DE LA DENUNCIA DE HECHOS PRESENTADA POR LEGISLADORES DE LA LIX LEGISLATURA, POR EL OTORGAMIENTO DEL COMODATO DEL ANTIGUO ORATORIO DE SAN FELIPE NERI. (SI SE CONSIDERA DE URGENTE RESOLUCIÓN)",60,"60yr1or1-sil-17",2006,11,9,1
"18",394,0,14,5,88,"CINCO DECRETOS QUE CONCEDEN PERMISO A 1 CC. PARA DESEMPEÑAR CARGO EN REPRESENTACIÓN EXTRANJERA Y A 14 CC. PARA ACEPTAR Y USAR CONDECORACIONES QUE LES CONFIEREN GOBIERNOS EXTRANJEROS. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-18",2006,11,14,1
"19",419,0,0,0,82,"TRES DECRETOS QUE CONCEDEN PERMISO A 15 CC. PARA PRESTAR SERVICIOS EN REPRESENTACIONES EXTRANJERAS. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-19",2006,11,16,1
"20",227,170,4,1,99,"PUNTO DE ACUERDO SOBRE EL INCREMENTO DEL PRECIO DE LA LECHE QUE DISTRIBUYE LICONSA. (SI SE CONSIDERA DE URGENTE RESOLUCIÓN)",60,"60yr1or1-sil-20",2006,11,16,1
"21",210,175,11,2,103,"PUNTO DE ACUERDO  POR EL QUE SE EXHORTA A LA SHCP Y AL CONSEJO DE LICONSA PARA QUE SUSPENDAN EL INCREMENTO ESTABLECIDO A LA LECHE DEL PROGRAMA LICONSA. (SI SE CONSIDERA DE URGENTE RESOLUCIÓN)",60,"60yr1or1-sil-21",2006,11,16,1
"22",127,287,6,2,79,"VOTACION PARA SABER SI SE ACEPTA RECESO.",60,"60yr1or1-sil-22",2006,11,21,1
"23",429,1,0,0,71,"PROYECTO DE LEY GENERAL DE PESCA Y ACUACULTURA SUSTENTABLES. (EN LO GENERAL Y EN LO PARTICULAR CON LA FE DE ERRATAS ACEPTADA)",60,"60yr1or1-sil-23",2006,12,5,1
